NP,CLAVE,NOMBRE
249,6042400006,ESPECIALIDAD EN ADMINISTRACIÓN DE OBRA
250,6042400007,ESPECIALIDAD EN ADMINISTRACIÓN DE PROYECTOS Y OBRAS
251,6042400008,ESPECIALIDAD EN ADMINISTRACIÓN DE TECNOLOGÍA
252,6042400009,ESPECIALIDAD EN ADMINISTRACIÓN Y CONTROL DE OBRAS
253,6042400010,ESPECIALIDAD EN DIRECCIÓN DE OPERACIONES
254,6042400011,ESPECIALIDAD EN DIRECCIÓN RESPONSABLE DE OBRA
255,6041300022,ESPECIALIDAD EN INGENIERÍA FINANCIERA
256,6042400012,ESPECIALIDAD EN INGENIERÍA Y GESTIÓN DE PROYECTOS
257,6042100073,ESPECIALIDAD EN PLANEACIÓN Y CONTROL DE MEDIOS
258,6042500012,ESPECIALIDAD EN ADMINISTRACIÓN AGROPECUARIA
259,6042500013,ESPECIALIDAD EN ADMINISTRACIÓN DE HOSPITALES
260,6042500014,ESPECIALIDAD EN ADMINISTRACIÓN EN SERVICIOS DE ENFERMERÍA ÁREA RECURSOS HUMANOS
261,6042500015,ESPECIALIDAD EN ADMINISTRACIÓN Y DOCENCIA DE ENFERMERÍA
262,6042500016,ESPECIALIDAD EN EL ÁREA DE ADMINISTRACIÓN Y DOCENCIA EN ENFERMERÍA
263,6042200002,ESPECIALIDAD EN ADMINISTRACIÓN EN EMPRESAS TURÍSTICAS
264,6042200003,ESPECIALIDAD EN ADMINISTRACIÓN HOTELERA
265,6042200004,ESPECIALIDAD EN DIRECCIÓN DE ORGANIZACIONES TURÍSTICAS
266,6042200005,ESPECIALIDAD EN RECREACIÓN LABORAL
267,6101600005,ESPECIALIDAD EN RECREACIÓN TURÍSTICA
268,6072100001,ESPECIALIDAD EN ALIMENTACIÓN MASIVA
269,6101500001,ESPECIALIDAD EN ARTES CULINARIAS Y TENDENCIAS EUROPEAS
270,6101500002,ESPECIALIDAD EN GASTRONOMÍA
271,6101500003,ESPECIALIDAD EN INNOVACIÓN TECNOLÓGICA EN LA INDUSTRIA GASTRONÓMICA
272,6101500004,ESPECIALIDAD EN SOMMELIER
273,6033100005,ESPECIALIDAD DEL SISTEMA ACUSATORIO ADVERSARIAL (JUICIOS ORALES)
274,6033100006,ESPECIALIDAD EN ADMINISTRACIÓN DE JUSTICIA
275,6033100007,ESPECIALIDAD EN ADMINISTRACIÓN Y PROCURACIÓN DE JUSTICIA
276,6033100008,ESPECIALIDAD EN AMPARO
277,6033100009,ESPECIALIDAD EN CIENCIAS PENALES
278,6033100010,ESPECIALIDAD EN DERECHO
279,6033100011,ESPECIALIDAD EN DERECHO ADMINISTRATIVO
280,6033100012,ESPECIALIDAD EN DERECHO CIVIL
281,6033100013,ESPECIALIDAD EN DERECHO CIVIL Y MERCANTIL
282,6033100014,ESPECIALIDAD EN DERECHO CONSTITUCIONAL Y ADMINISTRATIVO
283,6033100015,ESPECIALIDAD EN DERECHO CONSTITUCIONAL Y AMPARO
284,6033100017,ESPECIALIDAD EN DERECHO CORPORATIVO
285,6033100018,ESPECIALIDAD EN DERECHO CORPORATIVO INTERNACIONAL
286,6033100019,ESPECIALIDAD EN DERECHO DE AMPARO
287,6033100020,ESPECIALIDAD EN DERECHO DE EMPRESA
